target_id	length	eff_length	est_counts	tpm
rna-NM_001178169.1	4308	4109	32	3.43073
rna-NM_001178168.1	2280	2081	289	61.1784
rna-NM_001178167.1	1554	1355	30	9.75336
rna-NM_001178166.1	2514	2315	103	19.6001
rna-NM_001178165.2	1002	803	14	7.68041
rna-NM_001178164.1	3396	3197	133	18.3266
rna-NM_001178163.1	978	779	0	0
rna-NM_001178162.2	4071	3872	25	2.84431
rna-NM_001178161.1	1908	1709	121	31.19
rna-NM_001178160.1	1200	1001	32	14.0828
rna-NM_001178159.1	768	569	36	27.8716
rna-NM_001178158.2	1218	1019	129	55.7683
rna-NM_001178157.1	1185	986	709	316.768
rna-NM_001178156.1	1878	1679	71	18.6286
rna-NM_001178155.2	1482	1283	17	5.83706
rna-NM_001178154.1	780	581	27	20.472
rna-NM_001178153.1	597	398	28	30.9918
rna-NM_001178152.1	648	449	40	39.2451
rna-YNCA0002W	72	3.52559	0	0
rna-NM_001178151.1	1929	1730	530.204	135.011
rna-NM_001178150.1	621	422	2164	2259
rna-NR_132150.1	102	4.33389	0	0
rna-NM_001178149.1	3825	3626	99	12.0276
rna-NM_001178148.1	3483	3284	23	3.0853
rna-NM_001178209.1	1620	1421	243	75.3328
rna-NM_001180033.1	660	461	82	78.3583
rna-NM_001178210.1	1281	1082	34	13.8428
rna-NM_001178211.1	1866	1667	6	1.58558
rna-NM_001178212.1	828	629	11	7.70396
rna-NM_001178213.1	3591	3392	0	0
rna-NM_001178214.1	1323	1124	0	0
rna-YNCA0004W	73	3.5471	0	0
rna-NM_001178215.2	2130	1931	235	53.6115
rna-NM_001178216.1	921	722	501	305.684
rna-NM_001178217.1	1308	1109	12	4.76674
rna-NM_001178218.2	2925	2726	40	6.46407
rna-NM_001178219.1	168	9.06081	0	0
rna-NM_001178220.2	540	341	4	5.16747
rna-YNCA0005W	82	3.75521	0	0
rna-YNCA0006C	82	3.75521	0	0
rna-NM_001178221.1	708	509	16	13.8476
rna-NM_001178222.1	705	506	11	9.57666
rna-NM_001178223.1	225	29.9375	0	0
rna-NM_001178224.1	897	698	5	3.15563
rna-NM_001178225.1	705	506	0	0
rna-NM_001178226.1	2064	1865	61	14.4086
rna-NM_001184583.1	81	3.73072	0	0
rna-NM_001178227.1	3567	3368	76	9.94062
rna-NM_001178230.1	4614	4415	4.95806	0.494713
rna-YAR061W	1006	807	0	0
rna-NM_001178235.1	300	101	0.5	2.18082
rna-NM_001180045.1	612	413	0	0
rna-NM_001178236.1	486	287	9.35785	14.3637
rna-NM_001178239.1	1404	1205	12.25	4.47838
rna-NM_001180054.1	2379	2180	75.4799	15.2527
rna-NM_001180053.1	318	119	0	0
rna-NM_001180052.1	2004	1805	2.28622	0.557972
rna-NM_001184458.1	129	5.5143	0	0
rna-YNCB0001W	84	3.8053	0	0
rna-NM_001178347.1	591	392	35	39.3327
rna-NM_001178346.2	3033	2834	16	2.48709
rna-NM_001178345.2	3456	3257	121	16.3659
rna-NM_001178344.1	3117	2918	50	7.54843
rna-NM_001178343.1	1461	1262	41	14.3119
rna-NM_001178342.1	648	449	36	35.3206
rna-NM_001178341.1	3354	3155	39	5.44549
rna-NM_001184585.1	120	5.05223	0	0
rna-NM_001180049.1	1317	1118	0	0
rna-NM_001180050.2	5314	5115	35.505	3.05785
rna-YNCB0002W	73	3.5471	0	0
rna-NM_001178339.2	1638	1439	250	76.5335
rna-NM_001178338.1	1383	1184	24	8.92959
rna-NM_001178337.2	2265	2066	6	1.27936
rna-NM_001178335.1	813	614	217	155.691
rna-NM_001178333.1	663	464	443	420.589
rna-NM_001178332.1	393	194	3042	6907.64
rna-NM_001184321.1	528	329	7	9.37291
rna-NM_001178331.2	1266	1067	226	93.3074
rna-NM_001178330.1	534	335	59	77.5853
rna-NM_001178329.1	1380	1181	61	22.7537
rna-NM_001178328.2	8364	8165	61	3.29114
rna-NM_001178327.1	414	215	1039.25	2129.39
rna-NM_001178326.1	1401	1202	53	19.4242
rna-NM_001178325.1	2943	2744	49	7.86655
rna-NM_001178324.2	2277	2078	135	28.6194
rna-NM_001178322.1	1377	1178	77	28.795
rna-NM_001178321.1	1107	908	189.46	91.9188
rna-NM_001178320.2	1626	1427	4	1.23483
rna-NM_001178319.1	4509	4310	187	19.1133
rna-NM_001178318.1	354	155	36	102.316
rna-NM_001178316.1	3219	3020	927	135.221
rna-NM_001178315.1	1950	1751	269	67.6766
rna-NM_001178314.1	1068	869	33	16.7289
rna-NR_132151.1	88	3.91013	0	0
rna-NM_001178312.1	603	404	3953.67	4311.13
rna-NM_001184584.1	99	4.23477	0	0
rna-NM_001184454.1	249	50.3754	103	900.723
rna-NM_001346794.1	309	110	33	132.158
rna-NM_001178309.1	1290	1091	197	79.5451
rna-NM_001178308.2	981	782	246	138.58
rna-NM_001178307.2	2244	2045	78	16.8025
rna-NM_001178306.1	3447	3248	54	7.32403
rna-NM_001178304.1	786	587	129	96.8108
rna-NM_001178303.1	3336	3137	8	1.12343
rna-NM_001178301.1	2091	1892	125	29.1046
rna-NM_001178300.1	2064	1865	46	10.8655
rna-NM_001184440.1	330	131	5	16.814
rna-NM_001178299.1	582	383	15	17.253
rna-NM_001178298.1	1272	1073	102	41.8767
rna-NM_001178297.2	627	428	61	62.7853
rna-NM_001178296.2	1407	1208	161	58.7126
rna-NM_001178295.1	1257	1058	102	42.4704
rna-NM_001178294.1	1578	1379	340	108.614
rna-NM_001178292.1	2496	2297	35	6.71242
rna-NM_001178291.1	2007	1808	56	13.6446
rna-NM_001178290.1	879	680	138	89.401
rna-NM_001178289.1	417	218	68	137.412
rna-NM_001348869.1	312	113	13	50.68
rna-NM_001178287.1	4146	3947	80	8.92884
rna-NM_001178286.1	1326	1127	35	13.6809
rna-NM_001178285.1	1374	1175	170	63.7358
rna-NM_001178284.1	369	170	0	0
rna-NM_001178283.1	774	575	31	23.7501
rna-NM_001178282.1	1920	1721	785	200.937
rna-NM_001178281.1	726	527	149	124.551
rna-NM_001178280.1	660	461	65	62.1133
rna-NM_001184527.1	180	11.1077	0	0
rna-NM_001178279.1	1740	1541	1183	338.185
rna-NM_001178278.1	699	500	77	67.8411
rna-NM_001178277.1	3078	2879	24	3.67233
rna-NM_001178276.1	774	575	225	172.38
rna-NM_001178275.1	2118	1919	14	3.21385
rna-NM_001178274.1	4542	4343	21	2.13011
rna-NM_001178273.1	1038	839	328	172.22
rna-NM_001178272.1	1146	947	84	39.0752
rna-NM_001178271.1	1017	818	3	1.61562
rna-NM_001178270.1	957	758	324	188.299
rna-NM_001184457.1	285	86.0009	36	184.405
rna-NM_001178269.1	1131	932	368	173.942
rna-NM_001178268.1	321	122	252	909.94
rna-NM_001178267.1	570	371	3198.49	3797.9
rna-NM_001178266.1	288	89.0004	65	321.731
rna-NM_001178265.1	438	239	33	60.8258
rna-NM_001178264.1	2055	1856	657	155.941
rna-NM_001178263.1	2607	2408	96	17.5625
rna-NM_001178262.1	3402	3203	72	9.90256
rna-NM_001178261.1	435	236	23	42.9327
rna-NM_001178260.1	1725	1526	71	20.4963
rna-NM_001178259.1	1563	1364	38	12.2727
rna-NM_001178258.1	402	203	14	30.3811
rna-NM_001178257.1	4740	4541	67	6.49973
rna-NM_001178256.1	1062	863	1	0.51046
rna-NM_001178255.1	1581	1382	68	21.6757
rna-YNCB0004W	74	3.56892	0	0
rna-YNCB0005C	71	3.50437	0	0
rna-NM_001178254.2	2685	2486	137	24.2768
rna-NM_001178253.1	1206	1007	2	0.874929
rna-NM_001178251.1	2280	2081	126	26.6729
rna-NM_001178250.1	843	644	15	10.2607
rna-NM_001178249.1	2031	1832	34	8.17571
rna-NM_001184539.1	240	42.049	0	0
rna-NM_001178248.2	2523	2324	30	5.68666
rna-NM_001178247.1	3735	3536	104	12.9567
rna-NM_001178246.1	543	344	54	69.1524
rna-NM_001178245.1	2931	2732	45	7.25611
rna-NM_001180047.1	1323	1124	3.07117	1.20368
rna-NM_001180048.2	5269	5070	78.7495	6.84245
rna-YNCB0006W	82	3.75521	0	0
rna-NM_001178244.1	7482	7283	448	27.0982
rna-NM_001178243.1	399	200	12.5333	27.6063
rna-NM_001178242.1	396	197	51	114.045
rna-NM_001178241.1	315	116	30	113.929
rna-NM_001178349.1	2343	2144	57	11.7118
rna-NM_001178350.1	861	662	119	79.1883
rna-NM_001178351.1	1422	1223	18	6.48363
rna-NM_001178352.2	1302	1103	92	36.7438
rna-NM_001178353.1	642	443	48	47.732
rna-NM_001178354.1	1494	1295	20	6.8035
rna-NM_001178355.2	2211	2012	46	10.0717
rna-NM_001178356.1	1647	1448	54	16.4285
rna-NM_001178357.1	312	113	70.7089	275.656
rna-NM_001178358.1	411	212	616.836	1281.76
rna-NM_001178359.1	864	665	661	437.877
rna-NM_001180055.1	1323	1124	0	0
rna-NM_001180056.2	5272	5073	23.4189	2.03364
rna-NM_001178361.1	390	191	8	18.4514
rna-YNCB0007W	73	3.5471	0	0
rna-NM_001178362.1	612	413	124	132.265
rna-NM_001178363.1	1794	1595	220	60.7623
rna-NM_001178364.1	387	188	57	133.564
rna-NM_001178365.1	2757	2558	304	52.3534
rna-NM_001178366.1	1101	902	1	0.488389
rna-NM_001178367.1	2100	1901	2.38108	0.551778
rna-NR_172474.1	3841	3642	28.4685	3.44348
rna-NM_001178368.1	1587	1388	25.1504	7.98228
rna-NM_001178369.1	1902	1703	436	112.783
rna-NM_001178370.1	534	335	29	38.1351
rna-NM_001178371.1	3498	3299	148	19.7629
rna-NM_001178372.1	906	707	27	16.8235
rna-NM_001178373.1	1185	986	1300	580.816
rna-NM_001178374.1	1143	944	152	70.9322
rna-NM_001346795.1	333	134	0	0
rna-NM_001178376.1	1578	1379	128	40.8901
rna-NM_001178377.1	1374	1175	163	61.1113
rna-NM_001178378.1	1659	1460	105	31.6817
rna-NM_001178379.1	1089	890	3169.69	1568.91
rna-NM_001346796.1	303	104	0	0
rna-NM_001178381.1	2760	2561	19	3.26826
rna-NM_001178382.1	1047	848	603	313.252
rna-NM_001178383.1	687	488	106	95.6881
rna-NR_132152.1	161	8.14747	0	0
rna-NR_132153.1	1301	1102	53	21.1868
rna-NM_001178384.1	1233	1034	175	74.5572
rna-NM_001178385.1	888	689	16	10.2299
rna-NM_001178386.1	2892	2693	9	1.47224
rna-NM_001178387.1	936	737	155	92.6481
rna-NM_001178388.1	897	698	0	0
rna-NM_001178389.1	2010	1811	48	11.676
rna-NM_001178390.1	1194	995	28	12.3967
rna-NM_001178391.2	2070	1871	103	24.2513
rna-NM_001178392.2	1719	1520	32	9.27424
rna-YNCB0011C	74	3.56892	0	0
rna-NM_001178393.2	1920	1721	13	3.32763
rna-NM_001178394.1	1005	806	56	30.6073
rna-NM_001178395.1	528	329	17	22.7628
rna-NM_001178396.1	471	272	1462.53	2368.69
rna-NM_001178397.1	2433	2234	70	13.8034
rna-NM_001178398.1	1017	818	48	25.85
rna-NM_001178400.1	633	434	9	9.13534
rna-NM_001178401.1	1077	878	29	14.5504
rna-NM_001178402.1	1035	836	651	343.042
rna-NM_001178403.1	2700	2501	120	21.1368
rna-YNCB0012W	84	3.8053	0	0
rna-NM_001178404.1	1506	1307	45	15.1673
rna-YNCB0013W	72	3.52559	0	0
rna-NM_001270739.1	201	17.0167	2	51.7759
rna-NM_001178405.1	1101	902	118	57.6299
rna-NM_001178406.1	2346	2147	113	23.1856
rna-NM_001184442.3	243	44.7603	25	246.047
rna-NM_001178407.1	3327	3128	50	7.04167
rna-NM_001178408.1	1863	1664	84	22.2381
rna-NM_001178409.3	933	734	246	147.642
rna-NM_001178410.1	543	344	38	48.6628
rna-NM_001178411.1	1215	1016	133	57.6674
rna-NM_001178413.3	1095	896	122	59.9824
rna-NM_001178414.1	663	464	19	18.0388
rna-NM_001178415.1	633	434	306	310.602
rna-NM_001178416.4	1830	1631	1464	395.421
rna-NM_001178417.1	1860	1661	99.0884	26.28
rna-NR_172475.1	2024	1825	209.912	50.6694
rna-NM_001178418.1	714	515	1	0.855391
rna-NM_001178419.3	636	437	14	14.113
rna-NM_001178420.1	645	446	875	864.262
rna-NM_001184540.1	162	8.26769	0	0
rna-NM_001178421.4	2877	2678	9	1.48049
rna-NM_001178422.2	2931	2732	150	24.187
rna-NM_001178424.2	1065	866	3	1.52607
rna-NM_001178425.3	489	290	33	50.1289
rna-NM_001178426.2	1290	1091	463	186.951
rna-NM_001178427.1	2895	2696	849	138.727
rna-NM_001178428.3	2277	2078	110	23.3195
rna-NM_001178429.1	3999	3800	72	8.34682
rna-YNCB0015W	72	3.52559	0	0
rna-YNCB0016W	72	3.52559	0	0
rna-NM_001178430.1	447	248	442	785.132
rna-NM_001178431.3	1461	1262	32	11.1702
rna-NM_001178432.1	2928	2729	400	64.5697
rna-NM_001180057.1	570	371	2124.51	2522.65
rna-NM_001178433.3	924	725	7	4.25336
rna-NM_001184443.1	258	59.1108	107	797.424
rna-NM_001178434.1	2841	2642	100	16.674
rna-NM_001178435.3	1065	866	22	11.1912
rna-NM_001178436.1	777	578	9	6.85941
rna-NM_001180058.2	300	101	22	95.9563
rna-NM_001178438.4	369	170	15	38.87
rna-NM_001178439.1	330	131	19	63.8932
rna-NM_001178440.1	1404	1205	21.6667	7.92095
rna-NM_001178441.3	1404	1205	17.3333	6.33676
rna-NM_001178442.2	2262	2063	27	5.7655
rna-NM_001178443.1	1293	1094	67	26.9792
rna-NM_001178444.3	693	494	37	32.9949
rna-NM_001178445.2	4365	4166	11	1.16318
rna-NM_001178446.1	2076	1877	18	4.22455
rna-NM_001178449.3	873	674	165	107.844
rna-NM_001178450.1	2262	2063	42	8.96855
rna-NM_001178451.1	1608	1409	50	15.6326
rna-NM_001178452.3	990	791	98	54.5785
rna-NM_001178453.1	1089	890	1402	693.953
rna-NM_001178454.1	567	368	611	731.418
rna-NM_001178455.3	738	539	17	13.8942
rna-NM_001178456.2	2844	2645	43	7.16168
rna-NM_001178457.1	444	245	138	248.133
rna-NM_001178458.3	1350	1151	41	15.6921
rna-NM_001178459.1	696	497	51	45.2049
rna-NM_001184520.1	291	92.0002	26	124.496
rna-NM_001178460.3	2901	2702	103.516	16.8769
rna-NM_001178462.1	2373	2174	349	70.7193
rna-NM_001178463.1	4179	3980	168	18.5951
rna-NM_001178465.3	2046	1847	49	11.687
rna-NM_001178466.1	1377	1178	28687.8	10728.1
rna-NM_001178467.1	897	698	97	61.2193
rna-NM_001178468.3	489	290	24	36.4574
rna-NM_001178469.2	2004	1805	881	215.016
rna-NM_001178470.1	534	335	49	64.4352
rna-NM_001178471.3	1950	1751	42	10.5666
rna-NM_001178473.1	1182	983	30	13.4444
rna-NM_001178474.1	1488	1289	89	30.4165
rna-NM_001270740.1	207	19.5103	33	745.113
rna-NM_001178475.3	1554	1355	665	216.199
rna-NM_001178476.1	1035	836	3	1.58084
rna-NM_001178477.1	987	788	50	27.9522
rna-NM_001178478.3	1278	1079	52	21.2302
rna-NM_001178479.3	2115	1916	44	10.1165
rna-NM_001178480.1	1791	1592	8	2.2137
rna-NM_001178481.1	2484	2285	58	11.1819
rna-NM_001178483.3	453	254	51	88.4522
rna-NM_001178484.3	7107	6908	21	1.33918
rna-NM_001178485.2	540	341	12	15.5024
rna-NM_001178486.2	1575	1376	6	1.9209
rna-NM_001178487.3	1527	1328	36	11.942
rna-NM_001178488.3	9279	9080	52	2.52284
rna-NM_001178489.2	1014	815	107	57.836
rna-NM_001178490.1	2322	2123	376	78.0207
rna-NM_001178491.3	1314	1115	1119	442.107
rna-NM_001348890.1	315	116	0	0
rna-NM_001178493.3	1056	857	11	5.65437
rna-NM_001178494.1	837	638	53	36.5955
rna-NM_001178495.1	891	692	4	2.5464
rna-NM_001178496.3	1830	1631	1	0.270096
rna-NM_001178497.3	1035	836	82	43.2095
rna-NM_001178498.1	3285	3086	38	5.4245
rna-NM_001178499.1	951	752	60	35.1484
rna-NM_001178500.3	876	677	43	27.9803
rna-NM_001178501.3	735	536	56	46.0252
rna-NM_001178502.1	648	449	414	406.187
rna-NM_001178503.1	1158	959	253	116.218
rna-NM_001178504.3	2097	1898	26	6.03461
rna-NM_001178505.3	768	569	0	0
rna-NM_001178506.1	1650	1451	9	2.73242
rna-NM_001178507.1	1044	845	68	35.4507
rna-NM_001178508.3	897	698	124	78.2597
rna-NM_001178509.3	1131	932	60	28.3601
rna-NM_001178510.1	1368	1169	197	74.2376
rna-NM_001180059.1	198	15.9266	18	497.877
rna-NM_001178511.3	1758	1559	85	24.0184
rna-NM_001178512.3	552	353	81	101.084
rna-NM_001178513.1	834	635	81	56.1932
rna-NM_001178514.1	1359	1160	58	22.0263
rna-NM_001178515.3	423	224	48	94.3986
rna-NM_001178516.3	1242	1043	25	10.5591
rna-NM_001178517.1	2082	1883	138	32.285
rna-NM_001178518.1	1743	1544	70	19.9721
rna-NM_001178519.3	621	422	115	120.049
rna-NM_001178520.3	2223	2024	293	63.7719
rna-NM_001178521.1	447	248	108	191.842
rna-NM_001178523.1	948	749	39	22.938
rna-NM_001178524.3	939	740	28	16.6686
rna-NM_001178525.3	1356	1157	254	96.7102
rna-NM_001178527.1	2568	2369	101	18.7814
rna-NM_001178528.1	1719	1520	15	4.3473
rna-NM_001178529.3	711	512	4782.11	4114.55
rna-NM_001178530.3	1359	1160	41	15.5703
rna-NM_001184586.1	195	14.9308	0	0
rna-NM_001178531.1	951	752	72	42.1781
rna-NM_001178532.3	1572	1373	4	1.2834
rna-NM_001178533.3	837	638	26	17.9525
rna-NM_001178534.1	1695	1496	20	5.88939
rna-NM_001178535.1	843	644	425	290.72
rna-NM_001178536.3	423	224	18	35.3995
rna-NM_001178537.3	588	389	2954.95	3346.36
rna-NM_001178539.1	483	284	2162.93	3355.03
rna-NM_001178540.1	1134	935	74	34.8652
rna-NM_001178541.3	672	473	38	35.3911
rna-NM_001178542.3	372	173	8	20.3712
rna-NM_001178543.1	1269	1070	105	43.2292
rna-NM_001178544.1	1665	1466	1139	342.265
rna-NM_001184541.3	150	7.01018	0	0
rna-NM_001184643.3	105	4.43819	0	0
rna-NM_001178545.1	654	455	32	30.9821
rna-NM_001178546.1	2397	2198	223	44.694
rna-NM_001178547.3	1395	1196	154	56.7233
rna-NM_001178548.3	1656	1457	86	26.0023
rna-NM_001184542.1	165	8.64817	0	0
rna-NM_001178549.1	636	437	0	0
rna-NM_001184676.3	204	18.2087	0	0
rna-NM_001178550.4	2538	2339	32	6.02687
rna-NM_001178551.2	2775	2576	38	6.49845
rna-NM_001178552.2	1128	929	12	5.69033
rna-NM_001178553.3	1215	1016	48	20.8123
rna-NM_001178555.4	1398	1199	85	31.23
rna-NM_001178556.1	5508	5309	30	2.48932
rna-NM_001348891.1	318	119	0	0
rna-YNCB0017C	72	3.52559	0	0
rna-YNCB0018W	72	3.52559	0	0
rna-NM_001178558.1	429	230	20	38.3067
rna-NM_001178559.3	975	776	31	17.5984
rna-NM_001178560.3	2019	1820	87	21.0581
rna-NM_001178561.1	825	626	27	19.0003
rna-NM_001178562.1	1584	1385	48	15.2673
rna-NM_001178563.3	1878	1679	78	20.4652
rna-NM_001178564.3	2025	1826	28	6.75506
rna-NM_001178565.1	561	362	23	27.9893
rna-NM_001178566.1	3543	3344	278.307	36.6632
rna-NM_001178567.3	384	185	3.73847	8.90213
rna-NM_001178568.3	1683	1484	56.2615	16.7013
rna-NM_001178569.1	1101	902	106	51.7692
rna-NM_001184644.1	105	4.43819	0	0
rna-NM_001178570.3	1632	1433	165	50.7236
rna-NM_001178571.3	1635	1436	11	3.37451
rna-NM_001178573.1	2703	2504	29	5.10195
rna-NM_001178575.1	1563	1364	42	13.5646
rna-NM_001178576.3	915	716	35	21.5341
rna-NM_001178577.3	2865	2666	39	6.44431
rna-NM_001178578.1	405	206	109	233.094
rna-NM_001184673.1	201	17.0167	2	51.7759
rna-NR_132154.1	1175	976	14	6.31903
rna-NM_001178579.3	912	713	61	37.6888
rna-NM_001178581.3	1242	1043	9	3.80128
rna-NM_001184461.1	285	86.0009	18	92.2023
rna-NM_001178582.1	1155	956	65	29.9521
rna-NM_001178583.3	3363	3164	54	7.51847
rna-NM_001178584.3	1311	1112	57	22.5809
rna-NM_001178585.1	2550	2351	97	18.1757
rna-NM_001178586.1	2196	1997	131	28.8978
rna-NM_001178587.3	1590	1391	79	25.0191
rna-NM_001178588.3	1353	1154	15	5.72608
rna-NM_001178589.1	1467	1268	35	12.1596
rna-NM_001178590.1	717	518	150	127.566
rna-NM_001178591.3	1347	1148	22	8.44215
rna-NM_001178592.3	489	290	25	37.9764
rna-NM_001178593.1	3390	3191	77	10.6301
rna-NM_001178594.1	1164	965	59	26.9337
rna-NM_001178595.3	1452	1253	519	182.469
rna-NM_001178596.3	1659	1460	174	52.5011
rna-NM_001178597.1	1113	914	404	194.719
rna-NM_001178598.1	1572	1373	2	0.641699
rna-NM_001178599.3	924	725	45	27.343
rna-NM_001178600.3	444	245	23	41.3556
rna-NM_001178601.1	366	167	25	65.9471
rna-NM_001178602.1	528	329	26	34.8137
rna-NM_001178603.3	2085	1886	23	5.37228
rna-NM_001184510.3	363	164	9	24.1752
rna-NM_001178604.1	717	518	93	79.0907
rna-NM_001178605.1	840	641	77	52.9182
rna-NM_001178606.3	429	230	5	9.57666
rna-NM_001178607.3	2067	1868	43	10.1406
rna-NM_001178608.1	2001	1802	48	11.7343
rna-NM_001178609.1	699	500	86	75.7706
rna-NM_001178610.3	321	122	30	108.326
rna-NM_001178611.3	1473	1274	228	78.8384
rna-NM_001178612.1	600	401	25	27.4643
rna-NM_001178613.2	963	764	142	81.878
rna-NM_001178615.4	1182	983	646	289.502
rna-NM_001395042.1	453	254	0	0
rna-NM_001178616.3	318	119	18	66.6343
rna-NM_001178617.1	417	218	58	117.204
rna-NM_001178618.2	1638	1439	64	19.5926
rna-NM_001178619.3	1260	1061	135	56.0519
rna-NM_001178620.3	1443	1244	30	10.6236
rna-NM_001178621.1	1311	1112	44	17.4309
rna-NM_001178622.1	1584	1385	43	13.677
rna-NM_001178623.4	5751	5552	13	1.03149
rna-NM_001178624.3	2424	2225	86	17.0271
rna-NM_001178626.1	606	407	16	17.318
rna-NM_001178627.1	1338	1139	188	72.712
rna-NM_001178628.3	1914	1715	34	8.73347
rna-NM_001178629.3	2637	2438	98	17.7078
rna-NM_001178630.1	441	242	29	52.7904
rna-NM_001178631.1	1473	1274	287	99.2395
rna-NM_001178632.3	2394	2195	6	1.20417
rna-NM_001178633.4	435	236	4	7.46655
rna-NM_001178634.1	1614	1415	282	87.794
rna-NM_001178635.1	1284	1085	230	93.3835
rna-NM_001178636.4	1452	1253	52	18.282
rna-NM_001178637.4	2718	2519	28	4.89668
rna-NM_001178638.1	966	767	145	83.2808
rna-NM_001178639.1	900	701	66	41.4761
rna-NM_001348892.1	372	173	0	0
rna-NM_001178641.3	1425	1226	40	14.3728
rna-NM_001178642.3	2580	2381	57	10.546
rna-NM_001178643.2	3651	3452	35	4.46652
rna-NM_001178644.1	1725	1526	119	34.353
rna-NM_001184587.3	120	5.05223	0	0
rna-NM_001178645.3	1407	1208	44.7697	16.3264
rna-NM_001178646.1	1845	1646	812	217.319
rna-NM_001184588.1	222	27.8721	0	0
rna-NM_001178647.3	1755	1556	778.545	220.418
rna-NM_001178649.3	363	164	0	0
rna-NM_001178650.1	1140	941	39.1804	18.3422
rna-YCL075W	441	242	0	0
rna-YCL074W	927	728	0	0
rna-NM_001178711.1	1848	1649	0	0
rna-NM_001178710.1	1377	1178	0	0
rna-NM_001178709.1	783	584	0	0
rna-NM_001178708.1	633	434	112.5	114.192
rna-NM_001178707.1	528	329	1	1.33899
rna-NM_001178706.1	1083	884	41	20.4317
rna-NM_001178705.1	1272	1073	29	11.9061
rna-NM_001178704.1	3291	3092	5	0.712365
rna-NM_001178703.1	951	752	380	222.607
rna-NM_001178702.1	459	260	157.778	267.328
rna-NM_001184528.1	342	143	7.22222	22.2488
rna-NM_001184448.1	294	95.0001	85	394.155
rna-NM_001178701.1	2139	1940	35	7.94764
rna-NM_001178700.1	435	236	24	44.7993
rna-NM_001178699.1	1008	809	22	11.9797
rna-NM_001305014.1	87	3.88332	0	0
rna-NM_001178698.1	2526	2327	592	112.072
rna-NM_001178697.1	1251	1052	71	29.7314
rna-NM_001178696.1	1752	1553	66	18.7217
rna-NM_001178695.1	966	767	174	99.9369
rna-NM_001178694.1	939	740	107	63.6978
rna-NM_001184678.1	240	42.049	0	0
rna-NM_001178693.1	1392	1193	2	0.738519
rna-NM_001178692.1	777	578	43	32.7727
rna-NM_001178690.1	2283	2084	164	34.6672
rna-NM_001178689.1	1254	1055	59	24.6361
rna-NM_001178688.1	1569	1370	237	76.2079
rna-NM_001178687.1	360	161	3	8.20857
rna-NM_001178685.1	1503	1304	188	63.5115
rna-NM_001178684.1	2238	2039	25	5.40126
rna-NM_001178683.1	1587	1388	15	4.76073
rna-NM_001178682.1	1305	1106	22	8.76273
rna-NM_001178681.1	1701	1502	268	78.6026
rna-NM_001178680.1	333	134	101	332.039
rna-NM_001178679.1	1065	866	64	32.5562
rna-NM_001178678.1	507	308	10	14.3028
rna-NM_001178677.1	1041	842	40	20.9276
rna-NM_001178676.1	894	695	343	217.411
rna-NM_001178675.1	2400	2201	319	63.8473
rna-NM_001178674.1	1323	1124	56	21.9479
rna-NM_001178673.1	1218	1019	102	44.0959
rna-NM_001178672.1	1539	1340	6	1.97251
rna-NM_001184449.1	582	383	111	127.672
rna-NM_001178713.1	582	383	24	27.6048
